team1,team2,winner,margin,ground,matchDate,match_id
England,Pakistan,England,5 wickets,Melbourne,13-Nov-22,T20I # 1879
England,India,England,10 wickets,Adelaide,10-Nov-22,T20I # 1878
New Zealand,Pakistan,Pakistan,7 wickets,Sydney,9-Nov-22,T20I # 1877
India,Zimbabwe,India,71 runs,Melbourne,6-Nov-22,T20I # 1873
Bangladesh,Pakistan,Pakistan,5 wickets,Adelaide,6-Nov-22,T20I # 1872
Netherlands,South Africa,Netherlands,13 runs,Adelaide,6-Nov-22,T20I # 1871
England,Sri Lanka,England,4 wickets,Sydney,5-Nov-22,T20I # 1867
Australia,Afghanistan,Australia,4 runs,Adelaide,4-Nov-22,T20I # 1864
Ireland,New Zealand,New Zealand,35 runs,Adelaide,4-Nov-22,T20I # 1862
Pakistan,South Africa,Pakistan,33 runs,Sydney,3-Nov-22,T20I # 1861
Bangladesh,India,India,5 runs,Adelaide,2-Nov-22,T20I # 1860
Netherlands,Zimbabwe,Netherlands,5 wickets,Adelaide,2-Nov-22,T20I # 1859
England,New Zealand,England,20 runs,Brisbane,1-Nov-22,T20I # 1858
Afghanistan,Sri Lanka,Sri Lanka,6 wickets,Brisbane,1-Nov-22,T20I # 1856
Australia,Ireland,Australia,42 runs,Brisbane,31-Oct-22,T20I # 1855
India,South Africa,South Africa,5 wickets,Perth,30-Oct-22,T20I # 1853
Netherlands,Pakistan,Pakistan,6 wickets,Perth,30-Oct-22,T20I # 1852
Bangladesh,Zimbabwe,Bangladesh,3 runs,Brisbane,30-Oct-22,T20I # 1851
New Zealand,Sri Lanka,New Zealand,65 runs,Sydney,29-Oct-22,T20I # 1850
Pakistan,Zimbabwe,Zimbabwe,1 run,Perth,27-Oct-22,T20I # 1849
India,Netherlands,India,56 runs,Sydney,27-Oct-22,T20I # 1848
Bangladesh,South Africa,South Africa,104 runs,Sydney,27-Oct-22,T20I # 1847
England,Ireland,Ireland,5 runs,Melbourne,26-Oct-22,T20I # 1846
Australia,Sri Lanka,Australia,7 wickets,Perth,25-Oct-22,T20I # 1845
South Africa,Zimbabwe,no result,-,Hobart,24-Oct-22,T20I # 1844
Bangladesh,Netherlands,Bangladesh,9 runs,Hobart,24-Oct-22,T20I # 1843
India,Pakistan,India,4 wickets,Melbourne,23-Oct-22,T20I # 1842
Ireland,Sri Lanka,Sri Lanka,9 wickets,Hobart,23-Oct-22,T20I # 1841
Afghanistan,England,England,5 wickets,Perth,22-Oct-22,T20I # 1840
Australia,New Zealand,New Zealand,89 runs,Sydney,22-Oct-22,T20I # 1839
Scotland,Zimbabwe,Zimbabwe,5 wickets,Hobart,21-Oct-22,T20I # 1838
Ireland,West Indies,Ireland,9 wickets,Hobart,21-Oct-22,T20I # 1837
Namibia,U.A.E.,U.A.E.,7 runs,Geelong,20-Oct-22,T20I # 1836
Netherlands,Sri Lanka,Sri Lanka,16 runs,Geelong,20-Oct-22,T20I # 1835
West Indies,Zimbabwe,West Indies,31 runs,Hobart,19-Oct-22,T20I # 1834
Ireland,Scotland,Ireland,6 wickets,Hobart,19-Oct-22,T20I # 1833
Sri Lanka,U.A.E.,Sri Lanka,79 runs,Geelong,18-Oct-22,T20I # 1832
Namibia,Netherlands,Netherlands,5 wickets,Geelong,18-Oct-22,T20I # 1830
Ireland,Zimbabwe,Zimbabwe,31 runs,Hobart,17-Oct-22,T20I # 1828
Scotland,West Indies,Scotland,42 runs,Hobart,17-Oct-22,T20I # 1826
Netherlands,U.A.E.,Netherlands,3 wickets,Geelong,16-Oct-22,T20I # 1825
Namibia,Sri Lanka,Namibia,55 runs,Geelong,16-Oct-22,T20I # 1823
